Country,Type,Date,Artist / Guest,Event Name,Location,Venue + Map,Tickets,Official
South Korea,Concert,2019-07-06 00:00:00,Gummy,This is Gummy,"Gyeongsangnam, Changwon",KBS Changwon Hall,,
South Korea,Concert,2019-05-18 00:00:00,Gummy,This is Gummy,"Gyeongsangnam, Jinju",Gyeongnam Art Center,,
South Korea,Concert,2019-06-22 00:00:00,Gummy,This is Gummy,"Haeundae, Busan",Bexco Auditorium,,
South Korea,Concert,2019-04-19 00:00:00,Mamamoo,4season F／W,"Jangchung, Seoul",Jangchung Stadium,,
South Korea,Concert,2019-05-04 00:00:00,"K.Will, Wheesung",Bromance,"Jangchung, Seoul",Jangchung Stadium,,
South Korea,Concert,2019-05-11 00:00:00,iKON,KEMiSTRY,"Jangchung, Seoul",Jangchung Stadium,,
South Korea,Concert,2019-07-13 00:00:00,Gummy,This is Gummy,Jeju,Jeju ICC Tamna Hall,,
South Korea,Fanmeet,2019-02-16 00:00:00,Choi Minho SHINee,Best Choi's Minho,"Jongno, Seoul",Sangmyung Art Center,,
South Korea,Fanmeet,2019-02-16 00:00:00,CLC,Promposal of CLC PARTY,"Jongno, Seoul",Gwanghwamun Art Hall,,
South Korea,Concert,2019-03-09 00:00:00,Park Kyung Block B,28.3°C,"Jongno, Seoul",Uniplex,,
South Korea,Fanmeet,2019-03-16 00:00:00,K.Will,Letter from K.Will,"Jongno, Seoul",Hongik Art Center,,
South Korea,Concert,2019-02-23 00:00:00,Voisper,The First Harmony,"Jung, Seoul",Ehwa 100th Memorial Hall,,
South Korea,Concert,2019-04-06 00:00:00,Dreamcatcher,Invitation from Nightmare City,"Mapo-gu, Seoul",FAN Square,,
South Korea,Fanmeet,2019-01-12 00:00:00,Fave Girls,WE? - Our New Days!,"Mapo, Seoul",MUV-Hall,,
South Korea,Concert,2019-01-19 00:00:00,N.Flying,Note 2 ㄹㅇ,"Mapo, Seoul",MUV-Hall,,
South Korea,Showcase,2019-02-18 00:00:00,TREI,BORN；本,"Mapo, Seoul",MUV-Hall,,
South Korea,Fanmeet,2019-03-09 00:00:00,K TST,K log,"Mapo, Seoul",Sweet Hall,,
South Korea,Showcase,2019-03-12 00:00:00,Dream Note,Dream:us,"Mapo, Seoul",MUV Hall,,
South Korea,Showcase,2019-03-13 00:00:00,GWSN,The Park in the Night,"Mapo, Seoul",FAN Square,,
South Korea,Fanmeet,2019-04-06 00:00:00,Park Jungmin SS501,32번째 찾아온 봄,"Mapo, Seoul",Gurumare Theater;,,
South Korea,Concert,2019-06-01 00:00:00,Gummy,This is Gummy,"Nam, Ulsan",KBS Ulsan Hall,,
South Korea,Fanmeet,2019-03-30 00:00:00,Jinyoung B1A4,Jinyoung Inside Me,"Nowon, Seoul",Kwangwoon U - Art Hall,,
South Korea,Fanmeet,2019-04-20 00:00:00,Oh My Girl,오늘도 미라클,"Nowon, Seoul",KWU Donghae Arts Center,,
South Korea,Concert,2019-06-29 00:00:00,Gummy,This is Gummy,"Sangyeok, Daegu",Kyungbuk U Auditorium,,
South Korea,Fanmeet,2019-02-24 00:00:00,Nine Muses,Remember,"Seongbuk, Seoul",Hansung U,,
South Korea,Concert,2019-02-14 00:00:00,Lovelyz,겨울나라의 러블리즈3,Seoul,Yonsei U - Auditorium,,
South Korea,Fanmeet,2019-03-30 00:00:00,Minho SHINee,Best Choi's Minho Encore,Seoul,KU Hwajeong Stadium,,
South Korea,Fanmeet,2019-05-26 00:00:00,Park Jihoon,May I Love You?,Seoul,KU Hwajeong Stadium,,
South Korea,Concert,2019-05-31 00:00:00,XIA,Way Back Encore,Seoul,KU Hwajeong Stadium,,
South Korea,Concert,2019-02-16 00:00:00,Sam Kim,Sun and Moon,"Shinchon, Seoul",Ehwa U - Samsung Hall,,
South Korea,Concert,2019-05-11 00:00:00,Nichkhun 2PM,HOME,"Shinchon, Seoul",Ehwa U - Samsung Hall,,
South Korea,Showcase,2019-03-08 00:00:00,Hong Jinyoung,Lots of Love,"Shinsu-dong, Seoul",Sogang U - Mary Hall,,
South Korea,Concert,2019-04-27 00:00:00,KARD,Wild Kard,"Shinsu-dong, Seoul",Sogang U - Mary Hall,,
South Korea,Concert,2019-01-26 00:00:00,Lee Honggi FT Island,I Am,"Sinchon, Seoul",Yonsei U - Centennial Hall,,
South Korea,Fanmeet,2019-04-27 00:00:00,WJSN,WJ STATION,"Sinchon, Seoul",Yonsei U - Auditorium,,
South Korea,Concert,2019-07-27 00:00:00,Jeong Sewoon,Zero,"Sinchon, Seoul",Yonsei U - Auditorium,,
South Korea,Concert,2019-01-05 00:00:00,Winner,Everywhere [Encore],"Songpa, Seoul",KSPO Dome,,
South Korea,Fanmeet,2019-01-05 00:00:00,GOT7,날아라 갓세븐,"Songpa, Seoul",Jamsil Arena,,
South Korea,Concert,2019-01-06 00:00:00,iKon,Continue [Encore],"Songpa, Seoul",KSPO Dome,,
South Korea,Concert,2019-01-26 00:00:00,NCT127,NEOCITY : Seoul-The Origin,"Songpa, Seoul",KSPO Dome,,
South Korea,Concert,2019-01-26 00:00:00,The Boyz,The Castle,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-02-01 00:00:00,Yong Junhyung Highlight,Goodbye 20's,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-02-08 00:00:00,Wheesung,GET SEXXY - Season. 2,"Songpa, Seoul",Jamsil Arena,,
South Korea,Fanmeet,2019-02-09 00:00:00,Naeun Apink,The Naeun Day,"Songpa, Seoul",Muse Live Hall,,
South Korea,Fanmeet,2019-02-10 00:00:00,Gfriend,Dear. Buddy -Cross the Sunset,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-02-16 00:00:00,Seungri Big Bang,The Great Seungri,"Songpa, Seoul",SK Olympic Handball Gym,,
South Korea,Concert,2019-02-16 00:00:00,LOOΠΔ,LOOΠΔVERSE,"Songpa, Seoul",Olympic Hall,,
South Korea,Fanmeet,2019-02-24 00:00:00,Nature,Nature World,"Songpa, Seoul",K-Art Hall,,
South Korea,Fanmeet,2019-03-01 00:00:00,Chorong Apink,Rong Time No See!,"Songpa, Seoul",Muse Live Hall,,
South Korea,Concert,2019-03-02 00:00:00,ASTRO,Black,"Songpa, Seoul",Olympic Park Olympic Hall,,
South Korea,Concert,2019-03-02 00:00:00,Super Junior,Super Show 7S,"Songpa, Seoul",KSPO Dome,,
South Korea,Fanmeet,2019-03-08 00:00:00,Ha Sungwoon Hotshot,My Moment,"Songpa, Seoul",SK Olympic Handball Gym,,
South Korea,Concert,2019-03-08 00:00:00,Seventeen,Seventeen in Carat Land,"Songpa, Seoul",Jamsil Arena,,
South Korea,Concert,2019-03-09 00:00:00,TVXQ,#with CIRCLE,"Songpa, Seoul",KSPO Dome,,
South Korea,Concert,2019-03-15 00:00:00,Taemin SHINee,T1001101,"Songpa, Seoul",SK Olympic Handball Gym,,
South Korea,Concert,2019-03-23 00:00:00,Taeyeon SNSD,＇s...one,"Songpa, Seoul",Jamsil Arena,,
South Korea,Concert,2019-03-23 00:00:00,Junho 2PM,Junho The Best,"Songpa, Seoul",Olympic Hall,,
South Korea,Concert,2019-03-30 00:00:00,Day6,Youth [Encore],"Songpa, Seoul",SK Olympic Handball Gym,,
